alpha,max_iter,th_mode,th_multiplier,th_majority,mk_size,cv_step,accuracy,recall,specificity,precision,dt_mean,dt_std,dt_median
0.333,2000,simple,1.05,0.4,5,2,0.724,0.442,1.0,1.0,6.895,12.993,0.0
0.333,2000,simple,1.05,0.4,7,2,0.724,0.442,1.0,1.0,7.448,14.051,0.2
0.333,2000,simple,1.05,0.5,3,2,0.686,0.366,1.0,1.0,5.882,13.611,0.0
0.333,2000,simple,1.05,0.5,5,2,0.682,0.358,1.0,1.0,9.187,19.344,0.0
0.333,2000,simple,1.05,0.5,7,2,0.68,0.354,1.0,1.0,9.408,19.409,0.2
0.333,2000,simple,1.05,0.6,3,2,0.65,0.294,1.0,1.0,7.991,18.171,0.0
0.333,2000,simple,1.05,0.6,5,2,0.642,0.277,1.0,1.0,8.453,17.866,0.0
0.333,2000,simple,1.05,0.6,7,2,0.638,0.269,1.0,1.0,7.356,15.148,0.0
0.333,2000,simple,1.05,0.7,3,2,0.592,0.177,1.0,1.0,5.417,9.975,0.3
0.333,2000,simple,1.05,0.7,5,2,0.59,0.173,1.0,1.0,10.759,19.701,0.3
0.333,2000,simple,1.05,0.7,7,2,0.588,0.169,1.0,1.0,7.7,12.173,0.3
0.333,2000,simple,1.05,0.8,3,2,0.53,0.05,1.0,1.0,5.467,6.085,3.6
0.333,2000,simple,1.05,0.8,5,2,0.528,0.045,1.0,1.0,14.233,8.382,13.5
0.333,2000,simple,1.05,0.8,7,2,0.528,0.045,1.0,1.0,16.367,6.57,15.5
0.333,2000,simple,1.05,0.9,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.05,0.9,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.05,0.9,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.05,1.0,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.05,1.0,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.05,1.0,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.1,0.1,3,2,0.842,0.692,0.992,0.989,5.409,11.865,0.0
0.333,2000,simple,1.1,0.1,5,2,0.84,0.688,0.992,0.989,6.289,12.921,0.0
0.333,2000,simple,1.1,0.1,7,2,0.838,0.684,0.992,0.989,7.035,14.052,0.2
0.333,2000,simple,1.1,0.2,3,2,0.798,0.594,1.0,1.0,5.818,15.061,0.0
0.333,2000,simple,1.1,0.2,5,2,0.794,0.586,1.0,1.0,5.605,11.532,0.0
0.333,2000,simple,1.1,0.2,7,2,0.792,0.582,1.0,1.0,5.946,11.831,0.0
0.333,2000,simple,1.1,0.3,3,2,0.76,0.518,1.0,1.0,6.686,14.269,0.0
0.333,2000,simple,1.1,0.3,5,2,0.758,0.514,1.0,1.0,7.752,15.736,0.0
0.333,2000,simple,1.1,0.3,7,2,0.752,0.5,1.0,1.0,7.233,13.996,0.2
0.333,2000,simple,1.1,0.4,3,2,0.722,0.438,1.0,1.0,5.577,11.424,0.0
0.333,2000,simple,1.1,0.4,5,2,0.72,0.434,1.0,1.0,7.491,14.639,0.0
0.333,2000,simple,1.1,0.4,7,2,0.718,0.43,1.0,1.0,7.847,14.617,0.2
0.333,2000,simple,1.1,0.5,3,2,0.682,0.358,1.0,1.0,7.478,17.658,0.0
0.333,2000,simple,1.1,0.5,5,2,0.68,0.354,1.0,1.0,9.204,19.439,0.0
0.333,2000,simple,1.1,0.5,7,2,0.68,0.354,1.0,1.0,9.475,19.391,0.2
0.333,2000,simple,1.1,0.6,3,2,0.638,0.269,1.0,1.0,5.624,13.723,0.0
0.333,2000,simple,1.1,0.6,5,2,0.634,0.262,1.0,1.0,7.492,15.583,0.0
0.333,2000,simple,1.1,0.6,7,2,0.634,0.262,1.0,1.0,7.674,15.545,0.0
0.333,2000,simple,1.1,0.7,3,2,0.592,0.177,1.0,1.0,8.617,17.549,0.4
0.333,2000,simple,1.1,0.7,5,2,0.584,0.16,1.0,1.0,10.215,17.533,0.5
0.333,2000,simple,1.1,0.7,7,2,0.584,0.16,1.0,1.0,10.215,17.533,0.5
0.333,2000,simple,1.1,0.8,3,2,0.53,0.05,1.0,1.0,13.067,15.875,5.8
0.333,2000,simple,1.1,0.8,5,2,0.526,0.041,1.0,1.0,24.533,14.636,23.8
0.333,2000,simple,1.1,0.8,7,2,0.526,0.041,1.0,1.0,24.533,14.636,23.8
0.333,2000,simple,1.1,0.9,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.1,0.9,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.1,0.9,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.1,1.0,3,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.1,1.0,5,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.1,1.0,7,2,0.506,0.0,1.0,0.0,999999999.0,0.0,999999999.0
0.333,2000,simple,1.15,0.1,3,2,0.844,0.692,0.996,0.994,6.71,14.54,0.0
0.333,2000,simple,1.15,0.1,5,2,0.842,0.688,0.996,0.994,7.436,15.43,0.0
0.333,2000,simple,1.15,0.1,7,2,0.84,0.684,0.996,0.994,8.222,16.512,0.2
0.333,2000,simple,1.15,0.2,3,2,0.796,0.591,1.0,1.0,4.837,10.135,0.0
0.333,2000,simple,1.15,0.2,5,2,0.794,0.586,1.0,1.0,5.723,11.546,0.0
0.333,2000,simple,1.15,0.2,7,2,0.792,0.582,1.0,1.0,6.043,11.848,0.0
0.333,2000,simple,1.15,0.3,3,2,0.754,0.505,1.0,1.0,6.248,12.568,0.0
0.333,2000,simple,1.15,0.3,5,2,0.746,0.488,1.0,1.0,7.648,14.25,0.0
0.333,2000,simple,1.15,0.3,7,2,0.744,0.484,1.0,1.0,7.708,14.271,0.2
0.333,2000,simple,1.15,0.4,3,2,0.718,0.43,1.0,1.0,5.935,12.167,0.0
